TMSTAMP,Air_Temperature_Avg,Relative_Humidity,SLP,Rain_ICA_Tot,WS_Mean,Wind_Speed_Max,Snow_Depth_Avg,Solar_Radiation_Avg,Soil_Temperature_5cm,Soil_Temperature_10cm,Soil_Temperature_20cm,Soil_Temperature_50cm,Soil_Temperature_100cm,Soil_Moisture_5cm,Soil_Moisture_10cm,Soil_Moisture_20cm,Soil_Moisture_50cm,Soil_Moisture_100cm,station_id
2024-02-08 00:00:00,0.0245,66.72,1024.73,0,0.752477,0.777467,-0.0118769,-1.776,3.32,3.623,3.473,4.94,6.595,0.28,0.31,0.301,0.357,0.424,MDMSNT-03
2024-02-08 00:00:00,3.9624,57.95,1025.74,0,0.84966,0.9996,-0.000486839,-1.118,2.145,3.781,5.38,5.631,7.329,0.198,0.293,0.325,0.351,0.277,MDMSNT-04
2024-02-08 00:00:00,2.497,49.93,1022.81,0,0.55811,0.721933,-0.00425379,-7.729,,,,,,,,,,,MDMSNT-02
2024-02-08 00:00:00,2.5203,67.94,1025.42,0,0.202697,0.444267,,0.911,2.352,3.433,4.069,5.044,6.74,0.176,0.213,0.228,0.281,0.267,MDMSNT-05
2024-02-08 00:00:00,0.3084,73.16,1025.61,0,0,0,-0.00227881,-3.352,3.551,4.183,3.933,4.748,6.416,0.321,0.361,0.253,0.33,0.368,MDMSNT-01
2024-02-08 00:00:00,2.7805,54.49,1025.15,0,0.585877,0.777467,-0.0386671,-3.356,8.7,8.15,7.965,7.889,8.04,0.401,0.351,0.359,0.423,0.381,MDMSNT-06
2024-02-07 23:59:00,2.5042,67.8,1025.42,0,0,0,,0.539,2.352,3.433,4.069,5.044,6.74,0.176,0.213,0.228,0.281,0.267,MDMSNT-05
2024-02-07 23:59:00,3.9347,57.84,1025.74,0,0.830223,0.944067,0.00317174,-1.103,2.145,3.781,5.38,5.631,7.329,0.198,0.293,0.325,0.351,0.277,MDMSNT-04
2024-02-07 23:59:00,0.101,66.5,1024.73,0,0.788573,0.833,-0.0118791,-3.319,3.32,3.623,3.473,4.94,6.595,0.28,0.31,0.301,0.357,0.424,MDMSNT-03
2024-02-07 23:59:00,2.5082,49.93,1022.81,0,0.638633,0.777467,-0.00284226,-9.47,,,,,,,,,,,MDMSNT-02
2024-02-07 23:59:00,0.4409,72.06,1025.61,0,0,0,-0.00252589,-1.661,3.551,4.183,3.933,4.748,6.416,0.321,0.361,0.253,0.33,0.368,MDMSNT-01
2024-02-07 23:59:00,2.4831,53.43,1025.15,0,0.0888533,0.388733,-0.0376839,-1.48,8.7,8.15,7.965,7.889,8.04,0.401,0.351,0.359,0.423,0.381,MDMSNT-06
2024-02-07 23:58:00,2.453,67.7,1025.42,0,0,0,,-1.719,2.352,3.433,4.069,5.044,6.74,0.176,0.213,0.228,0.281,0.267,MDMSNT-05
2024-02-07 23:58:00,2.358,54.81,1025.15,0,0,0,-0.0353852,-3.278,8.7,8.15,7.965,7.889,8.04,0.401,0.351,0.359,0.423,0.381,MDMSNT-06
