TMSTAMP,Air_Temperature_Avg,Relative_Humidity,SLP,Rain_ICA_Tot,WS_Mean,WD_Mean,Wind_Speed_Max,Snow_Depth_Avg,Solar_Radiation_Avg,Soil_Temperature_5cm,Soil_Temperature_10cm,Soil_Temperature_20cm,Soil_Temperature_50cm,Soil_Temperature_100cm,Soil_Moisture_5cm,Soil_Moisture_10cm,Soil_Moisture_20cm,Soil_Moisture_50cm,Soil_Moisture_100cm,station_id
2024-02-17 05:01:00,0.0093,95.5,1009.73,0,1.01071,144.085,1.44387,-0.000331956,-1.908,3.198,3.853,4.635,5.444,6.779,0.31,0.326,0.313,0.364,0.425,MDMSNT-03
2024-02-17 05:01:00,3.2398,52.97,1009.62,0,1.47996,162.912,1.9992,,14.785,2.374,3.248,4.423,5.824,7.06,0.185,0.229,0.243,0.286,0.269,MDMSNT-05
2024-02-17 05:01:00,3.234,56.09,1009.64,0,1.47996,140.891,1.94367,-0.011079,-0.198,2.027,2.96,4.521,6.336,7.596,0.204,0.298,0.327,0.351,0.275,MDMSNT-04
2024-02-17 05:01:00,-3.4894,96.1,1007.11,0,0.960727,82.103,1.61047,0.0494221,-9.698,,,,,,,,,,,MDMSNT-02
2024-02-17 05:01:00,2.4644,60.86,1010.21,0,1.82427,7.36223,1.94367,-0.0145736,-0.225,3.697,4.368,4.876,5.377,6.61,0.332,0.367,0.257,0.361,0.369,MDMSNT-01
2024-02-17 05:01:00,4.39355,47.13,1009.15,0,0.444267,105.322,0.6664,-0.00173094,-0.365,4.833,5.848,6.243,7.338,8.7,0.44,0.391,0.405,0.427,0.379,MDMSNT-06
2024-02-17 05:00:00,4.36945,47.73,1009.15,0,0.719157,105.307,1.11067,-0.00178723,-0.406,4.861,5.866,6.258,7.296,8.71,0.44,0.391,0.405,0.427,0.379,MDMSNT-06
2024-02-17 05:00:00,0.045,95.3,1009.73,0,1.45775,144.797,1.9992,-0.00234802,-1.916,3.258,3.893,4.613,5.453,6.758,0.31,0.326,0.313,0.364,0.425,MDMSNT-03
2024-02-17 05:00:00,3.234,56.09,1009.64,0,1.89369,144.248,2.27687,-0.0109752,-0.133,1.994,2.978,4.589,6.342,7.614,0.204,0.298,0.327,0.351,0.275,MDMSNT-04
2024-02-17 05:00:00,3.25355,52.7,1009.62,0,0.980163,159.107,1.38833,,14.717,2.307,3.27,4.457,5.815,7.087,0.185,0.229,0.243,0.286,0.269,MDMSNT-05
2024-02-17 05:00:00,-3.5006,96.1,1007.21,0,0.677507,74.032,1.27727,0.0492966,-8.544,,,,,,,,,,,MDMSNT-02
2024-02-17 05:00:00,2.387,61.84,1010.31,0,1.64656,3.37575,1.77707,-0.0145902,-0.185,3.722,4.331,4.867,5.414,6.619,0.332,0.367,0.257,0.361,0.369,MDMSNT-01
2024-02-17 04:59:00,4.435,47.65,1009.15,0,0.43316,114.645,0.9996,-0.00290108,-0.41,4.861,5.866,6.258,7.296,8.71,0.44,0.391,0.405,0.427,0.379,MDMSNT-06
2024-02-17 04:59:00,0.0464,95.3,1009.73,0,1.49385,141.858,1.8326,0.000453734,-1.581,3.258,3.893,4.613,5.453,6.758,0.31,0.326,0.313,0.364,0.425,MDMSNT-03
2024-02-17 04:59:00,3.2353,54.76,1009.64,0,2.46846,142.727,2.77667,-0.0108034,-0.183,1.994,2.978,4.589,6.342,7.614,0.204,0.298,0.327,0.351,0.275,MDMSNT-04
2024-02-17 04:59:00,3.2281,53.25,1009.62,0,1.35501,174.896,2.1658,,14.595,2.307,3.27,4.457,5.815,7.087,0.185,0.229,0.243,0.286,0.269,MDMSNT-05
2024-02-17 04:59:00,-3.487,96.2,1007.21,0,0.410947,57.0553,0.721933,0.0506068,-7.278,,,,,,,,,,,MDMSNT-02
