TMSTAMP,Air_Temperature_Avg,Relative_Humidity,SLP,Rain_ICA_Tot,WS_Mean,Wind_Speed_Max,Snow_Depth_Avg,Solar_Radiation_Avg,Soil_Temperature_5cm,Soil_Temperature_10cm,Soil_Temperature_20cm,Soil_Temperature_50cm,Soil_Temperature_100cm,Soil_Moisture_5cm,Soil_Moisture_10cm,Soil_Moisture_20cm,Soil_Moisture_50cm,Soil_Moisture_100cm
2024-02-03 00:00:00,6.49045,58.17,1015.91,0,3.97341,4.60927,-0.00450646,-0.433,5.797,6.106,5.797,5.929,6.735,0.333,0.369,0.26,0.371,0.368
2024-02-02 23:59:00,6.518,59.33,1015.91,0,3.38476,4.6648,-0.00300319,-0.353,5.797,6.106,5.797,5.929,6.735,0.333,0.369,0.26,0.371,0.368
2024-02-02 23:58:00,6.51935,59.33,1015.91,0,2.51566,3.4986,-0.00356753,-0.454,5.797,6.106,5.797,5.929,6.735,0.333,0.369,0.26,0.371,0.368
2024-02-02 23:57:00,6.545,58.48,1015.91,0,2.16302,2.61007,-0.00178952,-0.444,5.797,6.106,5.797,5.929,6.735,0.333,0.369,0.26,0.371,0.368
2024-02-02 23:56:00,6.54435,58.48,1015.91,0,2.45735,2.94327,-0.00263963,-0.447,5.797,6.106,5.797,5.929,6.735,0.333,0.369,0.26,0.371,0.368
2024-02-02 23:55:00,6.532,58.79,1015.91,0,2.89606,3.332,-0.0014294,-0.385,5.797,6.106,5.797,5.929,6.735,0.333,0.369,0.26,0.371,0.368
2024-02-02 23:54:00,6.5348,58.79,1015.91,0,2.51566,3.10987,-0.00385189,-0.342,5.797,6.106,5.797,5.929,6.735,0.333,0.369,0.26,0.371,0.368
2024-02-02 23:53:00,6.5888,58.48,1015.91,0,2.57397,3.27647,-0.000946498,-0.473,5.797,6.106,5.797,5.929,6.735,0.333,0.369,0.26,0.371,0.368
2024-02-02 23:52:00,6.6025,57.61,1015.91,0,2.79888,3.88733,-0.0016,-0.338,5.797,6.106,5.797,5.929,6.735,0.333,0.369,0.26,0.371,0.368
2024-02-02 23:51:00,6.5747,57.76,1015.81,0,2.90995,3.88733,-0.00470716,-0.454,5.797,6.106,5.797,5.929,6.735,0.333,0.369,0.26,0.371,0.368
2024-02-02 23:50:00,6.5873,59.07,1015.81,0,2.89606,4.4982,-0.00263995,-0.429,5.797,6.106,5.797,5.929,6.735,0.333,0.369,0.26,0.371,0.368
2024-02-02 23:49:00,6.574,57.58,1015.81,0,2.26021,2.77667,-0.00249648,-0.385,5.797,6.106,5.797,5.929,6.735,0.333,0.369,0.26,0.371,0.368
2024-02-02 23:48:00,6.5698,57.58,1015.81,0,2.70725,3.44307,-0.00138314,-0.407,5.797,6.106,5.797,5.929,6.735,0.333,0.369,0.26,0.371,0.368
