TMSTAMP,Air_Temperature_Avg,Relative_Humidity,SLP,Rain_ICA_Tot,WS_Mean,Wind_Speed_Max,Snow_Depth_Avg,Solar_Radiation_Avg,Soil_Temperature_5cm,Soil_Temperature_10cm,Soil_Temperature_20cm,Soil_Temperature_50cm,Soil_Temperature_100cm,Soil_Moisture_5cm,Soil_Moisture_10cm,Soil_Moisture_20cm,Soil_Moisture_50cm,Soil_Moisture_100cm
2024-02-03 00:00:00,7.4113,63.34,1014.84,0,2.9627,3.8318,0.00639713,-0.158,5.67,6.282,6.895,7.158,8.07,0.321,0.336,0.346,0.36,0.279
2024-02-02 23:59:00,7.423,63.4,1014.84,0,3.60689,4.94247,0.00680433,-0.198,5.67,6.282,6.895,7.158,8.07,0.321,0.336,0.346,0.36,0.279
2024-02-02 23:58:00,7.4217,63.4,1014.84,0,3.55691,4.72033,0.0072671,-0.241,5.67,6.282,6.895,7.158,8.07,0.321,0.336,0.346,0.36,0.279
2024-02-02 23:57:00,7.4087,63,1014.84,0,2.95715,3.94287,0.00760468,-0.169,5.67,6.282,6.895,7.158,8.07,0.321,0.336,0.346,0.36,0.279
2024-02-02 23:56:00,7.3996,63.21,1014.84,0,4.10391,5.44227,0.00650639,-0.158,5.67,6.282,6.895,7.158,8.07,0.321,0.336,0.346,0.36,0.279
2024-02-02 23:55:00,7.4172,63.86,1014.84,0,2.8794,4.4982,0.00700738,-0.201,5.67,6.282,6.895,7.158,8.07,0.321,0.336,0.346,0.36,0.279
2024-02-02 23:54:00,7.3682,64.27,1014.84,0,3.26536,4.44267,0.00636126,-0.27,5.67,6.282,6.895,7.158,8.07,0.321,0.336,0.346,0.36,0.279
2024-02-02 23:53:00,7.401,63.86,1014.84,0,2.69337,4.10947,0.00664753,-0.309,5.67,6.282,6.895,7.158,8.07,0.321,0.336,0.346,0.36,0.279
2024-02-02 23:52:00,7.437,63.82,1014.84,0,2.57952,3.38753,0.00672157,-0.244,5.67,6.282,6.895,7.158,8.07,0.321,0.336,0.346,0.36,0.279
2024-02-02 23:51:00,7.4311,63.73,1014.84,0,3.30979,4.10947,0.00632137,-0.198,5.67,6.282,6.895,7.158,8.07,0.321,0.336,0.346,0.36,0.279
2024-02-02 23:50:00,7.3825,64.15,1014.84,0,3.56524,5.22013,0.00678229,-0.158,5.67,6.282,6.895,7.158,8.07,0.321,0.336,0.346,0.36,0.279
2024-02-02 23:49:00,7.423,63.94,1014.74,0,2.77389,3.4986,0.00679857,-0.302,5.67,6.282,6.895,7.158,8.07,0.321,0.336,0.346,0.36,0.279
2024-02-02 23:48:00,7.4185,63.94,1014.74,0,2.84331,4.3316,0.00707485,-0.208,5.67,6.282,6.895,7.158,8.07,0.321,0.336,0.346,0.36,0.279
2024-02-02 23:47:00,7.3799,63.8,1014.74,0,2.8683,3.6652,0.00651355,-0.144,5.67,6.282,6.895,7.158,8.07,0.321,0.336,0.346,0.36,0.279
2024-02-02 23:46:00,7.397,63.95,1014.74,0,3.64576,4.94247,0.00772228,-0.302,5.67,6.282,6.895,7.158,8.07,0.321,0.336,0.346,0.36,0.279
2024-02-02 23:45:00,7.3951,63.95,1014.74,0,3.43196,5.88653,0.0068888,-0.183,5.763,6.315,6.98,7.152,8.05,0.324,0.336,0.346,0.36,0.279
2024-02-02 23:44:00,7.3825,64.28,1014.74,0,3.07099,3.72073,0.00655705,-0.266,5.763,6.315,6.98,7.152,8.05,0.324,0.336,0.346,0.36,0.279
2024-02-02 23:43:00,7.4172,64,1014.74,0,2.499,3.05433,0.00607436,-0.147,5.763,6.315,6.98,7.152,8.05,0.324,0.336,0.346,0.36,0.279
2024-02-02 23:42:00,7.365,64.06,1014.74,0,3.25981,4.44267,0.00504128,-0.212,5.763,6.315,6.98,7.152,8.05,0.324,0.336,0.346,0.36,0.279
2024-02-02 23:41:00,7.3682,64.06,1014.64,0,3.59856,4.72033,0.00556612,-0.198,5.763,6.315,6.98,7.152,8.05,0.324,0.336,0.346,0.36,0.279
2024-02-02 23:40:00,7.397,64.18,1014.64,0,3.47916,5.4978,0.00612849,-0.298,5.763,6.315,6.98,7.152,8.05,0.324,0.336,0.346,0.36,0.279
2024-02-02 23:39:00,7.397,64.18,1014.64,0,2.65727,3.94287,0.00578973,-0.194,5.763,6.315,6.98,7.152,8.05,0.324,0.336,0.346,0.36,0.279
2024-02-02 23:38:00,7.4039,64.01,1014.64,0,2.76834,3.44307,0.00490603,-0.187,5.763,6.315,6.98,7.152,8.05,0.324,0.336,0.346,0.36,0.279
2024-02-02 23:37:00,7.466,63.89,1014.64,0,2.77667,4.05393,0.00615115,-0.212,5.763,6.315,6.98,7.152,8.05,0.324,0.336,0.346,0.36,0.279
2024-02-02 23:36:00,7.4673,63.53,1014.64,0,2.95993,3.8318,0.00604196,-0.277,5.763,6.315,6.98,7.152,8.05,0.324,0.336,0.346,0.36,0.279
2024-02-02 23:35:00,7.4748,63.4,1014.54,0,2.44069,3.60967,0.00646047,-0.122,5.763,6.315,6.98,7.152,8.05,0.324,0.336,0.346,0.36,0.279
2024-02-02 23:34:00,7.433,63.61,1014.54,0,2.99047,3.9984,0.00678039,-0.144,5.763,6.315,6.98,7.152,8.05,0.324,0.336,0.346,0.36,0.279
2024-02-02 23:33:00,7.3983,63.77,1014.54,0,3.77627,4.72033,0.00546393,-0.155,5.763,6.315,6.98,7.152,8.05,0.324,0.336,0.346,0.36,0.279
2024-02-02 23:32:00,7.4068,64.19,1014.54,0,2.96548,3.94287,0.00667709,-0.208,5.763,6.315,6.98,7.152,8.05,0.324,0.336,0.346,0.36,0.279
2024-02-02 23:31:00,7.378,64.18,1014.54,0,2.8794,4.165,0.00619307,-0.237,5.763,6.315,6.98,7.152,8.05,0.324,0.336,0.346,0.36,0.279
2024-02-02 23:30:00,7.3799,64.18,1014.54,0,2.60174,3.1654,0.00617481,-0.291,5.784,6.401,7.025,7.143,8.04,0.323,0.336,0.347,0.36,0.279
2024-02-02 23:29:00,7.4039,64.35,1014.54,0,2.60729,3.4986,0.00672128,-0.334,5.784,6.401,7.025,7.143,8.04,0.323,0.336,0.347,0.36,0.279
2024-02-02 23:28:00,7.4617,63.9,1014.54,0,1.8798,2.88773,0.00591241,-0.255,5.784,6.401,7.025,7.143,8.04,0.323,0.336,0.347,0.36,0.279
2024-02-02 23:27:00,7.4217,63.65,1014.54,0,2.16858,2.61007,0.00670105,-0.219,5.784,6.401,7.025,7.143,8.04,0.323,0.336,0.347,0.36,0.279
2024-02-02 23:26:00,7.41,64.19,1014.54,0,2.6295,3.4986,0.00644393,-0.169,5.784,6.401,7.025,7.143,8.04,0.323,0.336,0.347,0.36,0.279
2024-02-02 23:25:00,7.4127,64.19,1014.54,0,3.14319,4.10947,0.00702762,-0.234,5.784,6.401,7.025,7.143,8.04,0.323,0.336,0.347,0.36,0.279
2024-02-02 23:24:00,7.437,63.73,1014.54,0,2.48512,3.1654,0.0066385,-0.316,5.784,6.401,7.025,7.143,8.04,0.323,0.336,0.347,0.36,0.279
2024-02-02 23:23:00,7.4399,64.04,1014.44,0,2.4518,3.38753,0.0065329,-0.226,5.784,6.401,7.025,7.143,8.04,0.323,0.336,0.347,0.36,0.279
2024-02-02 23:22:00,7.466,63.71,1014.44,0,2.14359,2.77667,0.00600368,-0.288,5.784,6.401,7.025,7.143,8.04,0.323,0.336,0.347,0.36,0.279
2024-02-02 23:21:00,7.4631,63.71,1014.44,0,2.21856,3.332,0.00648035,-0.316,5.784,6.401,7.025,7.143,8.04,0.323,0.336,0.347,0.36,0.279
2024-02-02 23:20:00,7.437,63.55,1014.44,0,1.98254,3.10987,0.00684524,-0.101,5.784,6.401,7.025,7.143,8.04,0.323,0.336,0.347,0.36,0.279
2024-02-02 23:19:00,7.437,63.55,1014.44,0,2.85164,3.9984,0.00685905,-0.331,5.784,6.401,7.025,7.143,8.04,0.323,0.336,0.347,0.36,0.279
2024-02-02 23:18:00,7.4343,63.54,1014.34,0,3.73184,4.88693,0.00711144,-0.18,5.784,6.401,7.025,7.143,8.04,0.323,0.336,0.347,0.36,0.279
2024-02-02 23:17:00,7.41,64.03,1014.34,0,3.4514,4.38713,0.00691395,-0.316,5.784,6.401,7.025,7.143,8.04,0.323,0.336,0.347,0.36,0.279
2024-02-02 23:16:00,7.41,64.37,1014.34,0,2.47956,3.44307,0.00677704,-0.18,5.784,6.401,7.025,7.143,8.04,0.323,0.336,0.347,0.36,0.279
2024-02-02 23:15:00,7.41,64.37,1014.34,0,2.69614,3.38753,0.00605493,-0.273,5.911,6.494,7.054,7.146,8.01,0.325,0.336,0.347,0.36,0.279
2024-02-02 23:14:00,7.4156,64.24,1014.34,0,2.87663,3.38753,0.00688655,-0.298,5.911,6.494,7.054,7.146,8.01,0.325,0.336,0.347,0.36,0.279
2024-02-02 23:13:00,7.4631,63.89,1014.34,0,2.04363,3.05433,0.00537345,-0.226,5.911,6.494,7.054,7.146,8.01,0.325,0.336,0.347,0.36,0.279
2024-02-02 23:12:00,7.4386,63.87,1014.24,0,2.64339,3.6652,0.00630198,-0.313,5.911,6.494,7.054,7.146,8.01,0.325,0.336,0.347,0.36,0.279
