TMSTAMP,Air_Temperature_Avg,Relative_Humidity,SLP,Rain_ICA_Tot,WS_Mean,Wind_Speed_Max,Snow_Depth_Avg,Solar_Radiation_Avg,Soil_Temperature_5cm,Soil_Temperature_10cm,Soil_Temperature_20cm,Soil_Temperature_50cm,Soil_Temperature_100cm,Soil_Moisture_5cm,Soil_Moisture_10cm,Soil_Moisture_20cm,Soil_Moisture_50cm,Soil_Moisture_100cm
2024-02-03 00:00:00,5.891,60.96,1015.93,0,2.4518,2.9988,-0.0128159,-0.858,5.643,6.076,6.144,5.932,6.642,0.301,0.316,0.309,0.361,0.425
2024-02-02 23:59:00,5.88095,60.96,1015.93,0,2.17968,2.72113,-0.0116317,-0.139,5.643,6.076,6.144,5.932,6.642,0.301,0.316,0.309,0.361,0.425
2024-02-02 23:58:00,5.6818,61.79,1015.93,0,2.59896,3.4986,-0.0119211,-0.576,5.643,6.076,6.144,5.932,6.642,0.301,0.316,0.309,0.361,0.425
2024-02-02 23:57:00,5.6162,61.72,1015.93,0,1.8687,3.27647,-0.0103262,-0.662,5.643,6.076,6.144,5.932,6.642,0.301,0.316,0.309,0.361,0.425
2024-02-02 23:56:00,5.6802,61.91,1015.93,0,1.86037,2.6656,-0.0053849,-0.862,5.643,6.076,6.144,5.932,6.642,0.301,0.316,0.309,0.361,0.425
2024-02-02 23:55:00,5.5992,62.29,1015.93,0,1.62157,2.55453,-0.0112892,-0.083,5.643,6.076,6.144,5.932,6.642,0.301,0.316,0.309,0.361,0.425
2024-02-02 23:54:00,5.65905,62.11,1015.93,0,1.64934,2.11027,-0.0124463,-0.756,5.643,6.076,6.144,5.932,6.642,0.301,0.316,0.309,0.361,0.425
2024-02-02 23:53:00,5.56845,62.57,1015.93,0,1.2856,2.1658,-0.0153995,-0.384,5.643,6.076,6.144,5.932,6.642,0.301,0.316,0.309,0.361,0.425
2024-02-02 23:52:00,5.6368,62.44,1015.93,0,1.10789,1.44387,-0.00974227,-0.866,5.643,6.076,6.144,5.932,6.642,0.301,0.316,0.309,0.361,0.425
2024-02-02 23:51:00,5.6999,62.02,1015.93,0,0.960727,1.72153,-0.0106452,-0.888,5.643,6.076,6.144,5.932,6.642,0.301,0.316,0.309,0.361,0.425
2024-02-02 23:50:00,5.789,61.72,1015.93,0,0.755253,1.27727,-0.0102019,-0.839,5.643,6.076,6.144,5.932,6.642,0.301,0.316,0.309,0.361,0.425
2024-02-02 23:49:00,5.7949,61.72,1015.93,0,0.99127,1.3328,-0.012525,-0.764,5.643,6.076,6.144,5.932,6.642,0.301,0.316,0.309,0.361,0.425
