dateTime,usUnits,interval,altimeter,appTemp,appTemp1,barometer,batteryStatus1,batteryStatus2,batteryStatus3,batteryStatus4,batteryStatus5,batteryStatus6,batteryStatus7,batteryStatus8,cloudbase,co,co2,consBatteryVoltage,dewpoint,dewpoint1,ET,extraHumid1,extraHumid2,extraHumid3,extraHumid4,extraHumid5,extraHumid6,extraHumid7,extraHumid8,extraTemp1,extraTemp2,extraTemp3,extraTemp4,extraTemp5,extraTemp6,extraTemp7,extraTemp8,forecast,hail,hailBatteryStatus,hailRate,heatindex,heatindex1,heatingTemp,heatingVoltage,humidex,humidex1,inDewpoint,inHumidity,inTemp,inTempBatteryStatus,leafTemp1,leafTemp2,leafWet1,leafWet2,lightning_distance,lightning_disturber_count,lightning_energy,lightning_noise_count,lightning_strike_count,luminosity,maxSolarRad,nh3,no2,noise,o3,outHumidity,outTemp,outTempBatteryStatus,pb,pm10_0,pm1_0,pm2_5,pressure,radiation,rain,rainBatteryStatus,rainRate,referenceVoltage,rxCheckPercent,signal1,signal2,signal3,signal4,signal5,signal6,signal7,signal8,snow,snowBatteryStatus,snowDepth,snowMoisture,snowRate,so2,soilMoist1,soilMoist2,soilMoist3,soilMoist4,soilTemp1,soilTemp2,soilTemp3,soilTemp4,supplyVoltage,txBatteryStatus,UV,uvBatteryStatus,windBatteryStatus,windchill,windDir,windGust,windGustDir,windrun,windSpeed
1667490840,1,1,30.22272975550496,62.08542041931378,NULL,30.22,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2262.73416088747,NULL,NULL,2.1,53.34396969209513,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,62.62,NULL,NULL,NULL,67.2346913527911,NULL,51.02865680143255,51,70,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,70,63.3,NULL,NULL,NULL,NULL,NULL,30.22,NULL,0,NULL,0,NULL,81.14583333333333,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,63.3,22.5,5,22.5,0.06666666666666667,4
1667490780,1,1,30.22272975550496,61.71097808635322,NULL,30.22,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2349.9331126591483,NULL,NULL,1.82,52.76029430429975,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,62.353,NULL,NULL,NULL,66.73624100829443,NULL,51.02865680143255,51,70,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,69,63.1,NULL,NULL,NULL,NULL,NULL,30.22,NULL,0,NULL,0,NULL,85.41666666666667,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,63.1,45,7,22.5,0.06666666666666667,4
1667490720,1,1,30.22272975550496,61.019464790651234,NULL,30.22,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2348.920728917127,NULL,NULL,1.82,52.66474879276464,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,62.243,NULL,NULL,NULL,66.58793448687982,NULL,51.02865680143255,51,70,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,69,63,NULL,NULL,NULL,NULL,NULL,30.22,NULL,0,NULL,0,NULL,89.6875,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,63,22.5,8,22.5,0.08333333333333333,5
1667490660,1,1,30.22272975550496,60.00938780210994,NULL,30.22,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2259.810349922033,NULL,NULL,2.1,53.056834460343055,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,62.29,NULL,NULL,NULL,66.78714802860704,NULL,51.02865680143255,51,70,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,70,63,NULL,NULL,NULL,NULL,NULL,30.22,NULL,0,NULL,0,NULL,85.41666666666667,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,63,22.5,9,22.5,0.11666666666666667,7
1667490600,1,1,30.221729638673583,61.69919480210994,NULL,30.219,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2259.810349922033,NULL,NULL,1.92,53.056834460343055,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,62.29,NULL,NULL,NULL,66.78714802860704,NULL,50.49408304731333,50,70,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,70,63,NULL,NULL,NULL,NULL,NULL,30.219,NULL,0,NULL,0,NULL,85.41666666666667,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,63,67.5,5,90,0.06666666666666667,4
1667490540,1,1,30.22272975550496,62.26246380210995,NULL,30.22,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2259.810349922033,NULL,NULL,1.82,53.056834460343055,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,62.29,NULL,NULL,NULL,66.78714802860704,NULL,50.93663481281011,51,69.9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,70,63,NULL,NULL,NULL,NULL,NULL,30.22,NULL,0,NULL,0,NULL,89.6875,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,63,90,4,90,0.05,3
1667490480,1,1,30.22272975550496,61.82784843543081,NULL,30.22,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2260.78474812783,NULL,NULL,2.2,53.15254710823755,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,62.4,NULL,NULL,NULL,66.93617351152965,NULL,50.93663481281011,51,69.9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,70,63.1,NULL,NULL,NULL,NULL,NULL,30.22,NULL,0,NULL,0,NULL,85.41666666666667,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,63.1,90,6,90,0.06666666666666667,4
1667490420,1,1,30.22472998917037,61.39332123118484,NULL,30.222,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2261.7593517839455,NULL,NULL,1.82,53.24825885215064,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,62.510000000000005,NULL,NULL,NULL,67.08535447635128,NULL,50.93663481281011,51,69.9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,70,63.2,NULL,NULL,NULL,NULL,NULL,30.222,NULL,0,NULL,0,NULL,81.14583333333333,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,63.2,90,8,90,0.08333333333333333,5
1667490360,1,1,30.223729872337227,62.08542041931378,NULL,30.221,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2262.73416088747,NULL,NULL,1.82,53.34396969209513,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,62.62,NULL,NULL,NULL,67.2346913527911,NULL,51.02865680143255,51,70,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,70,63.3,NULL,NULL,NULL,NULL,NULL,30.221,NULL,0,NULL,0,NULL,89.6875,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,63.3,90,7,67.5,0.06666666666666667,4
1667490300,1,1,30.22472998917037,62.65950229837994,NULL,30.222,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2352.971542945369,NULL,NULL,1.95,53.046925211040374,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,62.68300000000001,NULL,NULL,NULL,67.18208125059444,NULL,51.02865680143255,51,70,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,69,63.4,NULL,NULL,NULL,NULL,NULL,30.222,NULL,0,NULL,0,NULL,85.41666666666667,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,63.4,112.5,7,112.5,0.05,3
1667490240,1,1,30.22472998917037,62.22482656780011,NULL,30.222,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2353.9847793836943,NULL,NULL,1.82,53.142466970711745,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,62.793,NULL,NULL,NULL,67.33100297129604,NULL,50.93663481281011,51,69.9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,69,63.5,NULL,NULL,NULL,NULL,NULL,30.222,NULL,0,NULL,0,NULL,81.14583333333333,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,63.5,90,6,112.5,0.06666666666666667,4
1667490180,1,1,30.22472998917037,61.919007772534755,NULL,30.222,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2356.0118917558916,NULL,NULL,1.82,53.33354767627408,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,63.013000000000005,NULL,NULL,NULL,67.62931142799587,NULL,50.93663481281011,51,69.9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,69,63.7,NULL,NULL,NULL,NULL,NULL,30.222,NULL,0,NULL,0,NULL,93.95833333333333,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,63.7,90,8,67.5,0.08333333333333333,5
1667490120,1,1,30.225730106004406,62.611134165442174,NULL,30.223,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2357.02576768348,NULL,NULL,2.1,53.429086622192685,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,63.123,NULL,NULL,NULL,67.77869901925044,NULL,51.02865680143255,51,70,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,69,63.8,NULL,NULL,NULL,NULL,NULL,30.223,NULL,0,NULL,0,NULL,85.41666666666667,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,63.8,67.5,5,67.5,0.06666666666666667,4
1667490060,1,1,30.22272975550496,62.611134165442174,NULL,30.22,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2357.02576768348,NULL,NULL,1.81,53.429086622192685,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,63.123,NULL,NULL,NULL,67.77869901925044,NULL,50.93663481281011,51,69.9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,69,63.8,NULL,NULL,NULL,NULL,NULL,30.22,NULL,0,NULL,0,NULL,85.41666666666667,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,63.8,90,5,67.5,0.06666666666666667,4
1667490000,1,1,30.225730106004406,62.740080057900755,NULL,30.223,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2358.039856767883,NULL,NULL,1.92,53.52462463022131,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,63.233000000000004,NULL,NULL,NULL,67.9282427575974,NULL,51.02865680143255,51,70,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,69,63.9,NULL,NULL,NULL,NULL,NULL,30.223,NULL,0,NULL,0,NULL,93.95833333333333,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,63.9,112.5,6,112.5,0.06666666666666667,4
1667489940,1,1,30.22773033967507,63.86661805790075,NULL,30.225,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2358.039856767883,NULL,NULL,2.12,53.52462463022131,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,63.233000000000004,NULL,NULL,NULL,67.9282427575974,NULL,50.93663481281011,51,69.9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,69,63.9,NULL,NULL,NULL,NULL,NULL,30.225,NULL,0,NULL,0,NULL,85.41666666666667,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,63.9,112.5,3,112.5,0.03333333333333333,2
1667489880,1,1,30.225730106004406,63.85744332726018,NULL,30.223,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2267.6112880143146,NULL,NULL,1.81,53.82251033273701,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,63.169999999999995,NULL,NULL,NULL,67.9837295194036,NULL,50.93663481281011,51,69.9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,70,63.8,NULL,NULL,NULL,NULL,NULL,30.223,NULL,0,NULL,0,NULL,81.14583333333333,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,63.8,112.5,3,112.5,0.03333333333333333,2
