TMSTAMP,Air_Temperature_Avg,Relative_Humidity,SLP,Rain_ICA_Tot,WS_Mean,Wind_Speed_Max,Snow_Depth_Avg,Solar_Radiation_Avg,Soil_Temperature_5cm,Soil_Temperature_10cm,Soil_Temperature_20cm,Soil_Temperature_50cm,Soil_Temperature_100cm,Soil_Moisture_5cm,Soil_Moisture_10cm,Soil_Moisture_20cm,Soil_Moisture_50cm,Soil_Moisture_100cm
2024-02-03 00:00:00,6.8125,59.94,1014.62,0,6.60847,8.05233,,4.156,5.417,5.971,6.348,6.669,7.449,0.231,0.24,0.246,0.286,0.269
2024-02-02 23:59:00,6.88245,59.87,1014.62,0,6.45297,7.27487,,3.974,5.417,5.971,6.348,6.669,7.449,0.231,0.24,0.246,0.286,0.269
2024-02-02 23:58:00,6.948,58.64,1014.62,0,6.38633,7.60807,,4.124,5.417,5.971,6.348,6.669,7.449,0.231,0.24,0.246,0.286,0.269
2024-02-02 23:57:00,6.9488,59.13,1014.52,0,6.9139,8.27447,,4.397,5.417,5.971,6.348,6.669,7.449,0.231,0.24,0.246,0.286,0.269
2024-02-02 23:56:00,6.95825,58.23,1014.52,0,7.23044,8.33,,4.037,5.417,5.971,6.348,6.669,7.449,0.231,0.24,0.246,0.286,0.269
2024-02-02 23:55:00,6.8533,60.31,1014.52,0,6.32802,9.6628,,4.231,5.417,5.971,6.348,6.669,7.449,0.231,0.24,0.246,0.286,0.269
2024-02-02 23:54:00,6.9335,60.1,1014.52,0,7.53865,8.6632,,4.1,5.417,5.971,6.348,6.669,7.449,0.231,0.24,0.246,0.286,0.269
2024-02-02 23:53:00,6.89805,58.84,1014.52,0,6.80006,7.55253,,4.358,5.417,5.971,6.348,6.669,7.449,0.231,0.24,0.246,0.286,0.269
2024-02-02 23:52:00,6.76735,60.12,1014.42,0,6.15587,8.33,,4.025,5.417,5.971,6.348,6.669,7.449,0.231,0.24,0.246,0.286,0.269
2024-02-02 23:51:00,6.79515,62.34,1014.52,0,7.60807,10.1626,,4.037,5.417,5.971,6.348,6.669,7.449,0.231,0.24,0.246,0.286,0.269
2024-02-02 23:50:00,6.83945,62,1014.52,0,5.96983,7.3304,,4.092,5.417,5.971,6.348,6.669,7.449,0.231,0.24,0.246,0.286,0.269
2024-02-02 23:49:00,6.90435,61.32,1014.52,0,5.11184,6.38633,,3.847,5.417,5.971,6.348,6.669,7.449,0.231,0.24,0.246,0.286,0.269
2024-02-02 23:48:00,6.88855,60.77,1014.52,0,5.00911,5.831,,4.322,5.417,5.971,6.348,6.669,7.449,0.231,0.24,0.246,0.286,0.269
2024-02-02 23:47:00,6.823,61.31,1014.42,0,5.71716,6.4974,,4.223,5.417,5.971,6.348,6.669,7.449,0.231,0.24,0.246,0.286,0.269
2024-02-02 23:46:00,6.8223,62.98,1014.52,0,6.35857,7.6636,,4.069,5.417,5.971,6.348,6.669,7.449,0.231,0.24,0.246,0.286,0.269
2024-02-02 23:45:00,6.8054,63.01,1014.52,0,5.92818,7.497,,3.874,5.498,6.016,6.351,6.666,7.435,0.231,0.24,0.246,0.286,0.269
2024-02-02 23:44:00,6.74195,64.23,1014.52,0,5.73382,6.60847,,4.136,5.498,6.016,6.351,6.666,7.435,0.231,0.24,0.246,0.286,0.269
2024-02-02 23:43:00,6.83465,64.01,1014.52,0,5.57555,7.05273,,3.997,5.498,6.016,6.351,6.666,7.435,0.231,0.24,0.246,0.286,0.269
2024-02-02 23:42:00,6.8118,63.89,1014.42,0,4.80363,5.4978,,4.104,5.498,6.016,6.351,6.666,7.435,0.231,0.24,0.246,0.286,0.269
2024-02-02 23:41:00,6.8657,63.65,1014.42,0,5.65607,7.1638,,3.882,5.498,6.016,6.351,6.666,7.435,0.231,0.24,0.246,0.286,0.269
2024-02-02 23:40:00,6.879,64.2,1014.42,0,5.57277,7.6636,,4.207,5.498,6.016,6.351,6.666,7.435,0.231,0.24,0.246,0.286,0.269
2024-02-02 23:39:00,6.8811,64.51,1014.42,0,5.53945,7.3304,,3.962,5.498,6.016,6.351,6.666,7.435,0.231,0.24,0.246,0.286,0.269
2024-02-02 23:38:00,6.9238,63.57,1014.32,0,5.90875,6.77507,,4.049,5.498,6.016,6.351,6.666,7.435,0.231,0.24,0.246,0.286,0.269
2024-02-02 23:37:00,6.9749,63.92,1014.32,0,5.72549,6.4974,,4.18,5.498,6.016,6.351,6.666,7.435,0.231,0.24,0.246,0.286,0.269
2024-02-02 23:36:00,6.93645,64.02,1014.32,0,6.2003,7.55253,,4.302,5.498,6.016,6.351,6.666,7.435,0.231,0.24,0.246,0.286,0.269
2024-02-02 23:35:00,6.95975,64.29,1014.32,0,6.69177,7.44147,,4.215,5.498,6.016,6.351,6.666,7.435,0.231,0.24,0.246,0.286,0.269
2024-02-02 23:34:00,6.8803,64.99,1014.32,0,6.97221,7.71913,,4.286,5.498,6.016,6.351,6.666,7.435,0.231,0.24,0.246,0.286,0.269
2024-02-02 23:33:00,6.9065,65.53,1014.32,0,7.08883,8.60767,,3.902,5.498,6.016,6.351,6.666,7.435,0.231,0.24,0.246,0.286,0.269
2024-02-02 23:32:00,6.93845,66.63,1014.32,0,5.45337,6.88613,,4.144,5.498,6.016,6.351,6.666,7.435,0.231,0.24,0.246,0.286,0.269
2024-02-02 23:31:00,7.0012,65.04,1014.32,0,6.08368,7.44147,,4.108,5.498,6.016,6.351,6.666,7.435,0.231,0.24,0.246,0.286,0.269
2024-02-02 23:30:00,6.94455,65.33,1014.22,0,5.82267,6.60847,,4.362,5.577,6.061,6.38,6.654,7.432,0.231,0.24,0.246,0.286,0.269
2024-02-02 23:29:00,6.8783,66.88,1014.22,0,6.82505,8.33,,4.298,5.577,6.061,6.38,6.654,7.432,0.231,0.24,0.246,0.286,0.269
2024-02-02 23:28:00,6.86635,67.22,1014.22,0,7.08883,8.10787,,4.12,5.577,6.061,6.38,6.654,7.432,0.231,0.24,0.246,0.286,0.269
2024-02-02 23:27:00,6.892,67.06,1014.22,0,5.43116,6.38633,,3.922,5.577,6.061,6.38,6.654,7.432,0.231,0.24,0.246,0.286,0.269
2024-02-02 23:26:00,6.89135,66.57,1014.22,0,5.17848,6.21973,,4.16,5.577,6.061,6.38,6.654,7.432,0.231,0.24,0.246,0.286,0.269
2024-02-02 23:25:00,6.8783,66.51,1014.22,0,4.8314,5.94207,,4.112,5.577,6.061,6.38,6.654,7.432,0.231,0.24,0.246,0.286,0.269
2024-02-02 23:24:00,6.867,66.83,1014.22,0,5.44227,6.10867,,4.148,5.577,6.061,6.38,6.654,7.432,0.231,0.24,0.246,0.286,0.269
2024-02-02 23:23:00,6.9065,66.46,1014.22,0,4.99245,5.71993,,4.061,5.577,6.061,6.38,6.654,7.432,0.231,0.24,0.246,0.286,0.269
2024-02-02 23:22:00,6.93285,66.3,1014.22,0,4.51208,5.6644,,4.017,5.577,6.061,6.38,6.654,7.432,0.231,0.24,0.246,0.286,0.269
2024-02-02 23:21:00,6.8956,66.82,1014.22,0,4.69257,5.22013,,4.077,5.577,6.061,6.38,6.654,7.432,0.231,0.24,0.246,0.286,0.269
2024-02-02 23:20:00,6.96535,65.62,1014.22,0,5.2479,5.88653,,4.029,5.577,6.061,6.38,6.654,7.432,0.231,0.24,0.246,0.286,0.269
2024-02-02 23:19:00,6.9938,65.84,1014.22,0,4.29273,5.27567,,4.231,5.577,6.061,6.38,6.654,7.432,0.231,0.24,0.246,0.286,0.269
2024-02-02 23:18:00,7.04485,65.93,1014.12,0,4.88693,6.1642,,4.073,5.577,6.061,6.38,6.654,7.432,0.231,0.24,0.246,0.286,0.269
2024-02-02 23:17:00,7.00615,66.64,1014.22,0,5.77824,6.38633,,4.156,5.577,6.061,6.38,6.654,7.432,0.231,0.24,0.246,0.286,0.269
2024-02-02 23:16:00,7.047,65.76,1014.12,0,5.1174,6.77507,,4.077,5.577,6.061,6.38,6.654,7.432,0.231,0.24,0.246,0.286,0.269
2024-02-02 23:15:00,7.04845,66.05,1014.12,0,4.90359,6.94167,,4.251,5.652,6.147,6.404,6.675,7.446,0.231,0.24,0.246,0.286,0.269
2024-02-02 23:14:00,7.076,65.64,1014.12,0,4.79808,5.60887,,4.152,5.652,6.147,6.404,6.675,7.446,0.231,0.24,0.246,0.286,0.269
